"Mobbs, Charles","http://www.mssm.edu/profiles/charles-v-mobbs"
"Nystrom, Thomas","http://www.cmb.gu.se/Kontakta_oss/Forskare_larare/Nystrom_Thomas/"
"Orr-Weaver, Terry","http://www.wi.mit.edu/research/faculty/orrweaver.html"
"Osiewacz, HD","http://www.uni-frankfurt.de/fb/fb15/english/institute/inst-3-mol-biowiss/AK-Osiewacz/prof_osiewacz/index.html"
"Paigen, Beverely","http://research.jax.org/faculty/beverly_paigen.html"
"Palmer, Ruth","http://www.molbiol.umu.se/english/research/researchers/ruth-palmer/"
"Partridge, Linda","http://www.ucl.ac.uk/iha/Linda_Partridge/index"
"Penninger, Josef M","http://www.imba.oeaw.ac.at/research/josef-penninger/"
"Pfanning, Nikolaus","http://www.biochemie.uni-freiburg.de/pfanner/pfanner.htm"
"Puigserver, Pere","http://cellbio.med.harvard.edu/faculty/puigserver/"
"Rabinovitch, Peter","http://www.pathology.washington.edu/faculty/profile?id=107"
"Rattan, Suresh","http://person.au.dk/da/rattan@mb.au.dk/cv"
"Riddle, Don","https://www.directory.ubc.ca/index.cfm?page=personDetail&row=1000006823"
"Rudolph, K. Lenhard","http://www.mh-hannover.de/fileadmin/mhh/bilder/international/hbrs_mdphd/Faculty/rudolph.pdf"
"Ruvkun, Gary ","http://www.hms.harvard.edu/dms/bbs/fac/Ruvkun.html"
"Sainsard-Chanet, Annie","http://www.cgm.cnrs-gif.fr/podospora/index_gb.html"
"Schlessinger, David","http://www.grc.nia.nih.gov/branches/lg/lg.htm"
"Selman, Colin","http://www.abdn.ac.uk/biologicalsci/staff/details/c.selman"
"Sharpless, Norman","http://genetics.unc.edu/faculty/sharpless"
"Shay, Jerry","http://www.utsouthwestern.edu/findfac/professional/0,,16566,00.html"
"Shmookler-Reis, Robert J.","http://www.uams.edu/biochem/reis.asp"
"Shore, David","http://www.molbio.unige.ch/shore/index.php"
"Sinclair, David","http://www.hms.harvard.edu/dms/bbs/fac/Sinclair.html"
"Sinning, Irmgard","http://bzh.db-engine.de/default.asp?lfn=en3528"
"Spindler, Stephen ","http://biochem.ucr.edu/faculty/spindler.html"
"Stürzenbaum, Stephen","http://wormsrus.50webs.com/"
"Sundberg, John ","http://research.jax.org/faculty/sundberg/index.html"
"Tanguay, Robert M.","http://labrt.rsvs.ulaval.ca/indexeng.html"
"Tanzi, Rudolph","http://www.hms.harvard.edu/dms/neuroscience/fac/tanzi.html"
"Tater, Mark","http://www.brown.edu/Departments/EEB/tatar/"
"Tibbetts, Randal","http://www.waisman.wisc.edu/faculty/tibbetts.html"
"Tower, John","http://www.usc.edu/programs/pibbs/site/faculty/tower_j.htm"
"Trifunovik, Aleksandra","http://cecad.uni-koeln.de/telephone_book/principal_investigators/a_trifunovic_phd/index_eng.html/"
"Ungvari, Zoltan","http://www.facilitiesmgmt.ouhsc.edu/brc/BRC_PIs.htm"
"Van Remmen, Holly","http://www.uthscsa.edu/csb/faculty/VanRemmen.asp"
"Vanfleteren, Jacques R","http://www.researchportal.be/en/person/jacques-vanfleteren-(UG_801000171627)/"
"Xiaochen Wang","http://www.nibs.ac.cn/english/?act=view&id=187"
"Walker, David","http://www.mcip.ucla.edu/indivfaculty.php?FacultyKey=9698"
"Wallace, Douglas C.","http://www.pediatrics.uci.edu/faculty/genetics/wallace/wallace.html"
"Wright, Woodring","http://www.utsouthwestern.edu/findfac/professional/0,,18156,00.html"
"Zeitlin, Scott","http://www.healthsystem.virginia.edu/internet/neurosci/Faculty/Zeitlin/zeitlin.cfm"
"Zou, Sige","http://www.grc.nia.nih.gov/branches/irp/szou.htm"
